,WSM,TOPSIS,VIKOR,Average
1487,0.5872,0.1297,0.5073,0.45020444244809493
1488,0.7251,0.2368,0.1519,0.3653944156661401
1489,0.588,0.143,0.5015,0.4483688492747907
1490,0.6044,0.1521,0.4206,0.4104295006453605
1491,0.6887,0.2025,0.3713,0.41963705508450994
1492,0.5127,0.1054,0.5807,0.47382618226518464
1493,0.6171,0.1523,0.3918,0.3998433305683615
1494,0.7569,0.3012,0.0585,0.37882328201946625
1495,0.7409,0.2542,0.1606,0.37691913456337023
1496,0.6403,0.1347,0.5454,0.4859738933317303
1497,0.6336,0.2909,0.4652,0.46247395061776186
1498,0.6263,0.1751,0.3473,0.38465177238640147
1499,0.5875,0.1449,0.4614,0.4263508332347904
1500,0.6636,0.1595,0.3603,0.4007656572112935
1501,0.6765,0.18,0.393,0.42246295695599156
1502,0.6983,0.1817,0.2774,0.38197437741293594
1503,0.5199,0.1196,0.6431,0.5149167456977876
1504,0.6831,0.2326,0.1289,0.3433126199253386
1505,0.6498,0.1496,0.4512,0.43926390245500485
1506,0.7099,0.2063,0.248,0.3798835466297533
1507,0.6243,0.1289,0.5222,0.4682745786394986
1508,0.6654,0.1647,0.3618,0.4026647228153964
1509,0.4141,0.4204,0.677,0.5625665382868057
1510,0.6696,0.1816,0.2861,0.3748239653490689
1511,0.6152,0.1357,0.5833,0.501336214530728
1512,0.6225,0.1838,0.3515,0.3865386229085006
1513,0.6734,0.1539,0.386,0.415086828266087
1514,0.4872,0.1044,0.6543,0.5145841243178806
1515,0.6903,0.1702,0.3335,0.39950513763905465
1516,0.6256,0.1757,0.3464,0.3840998555063514
1517,0.7047,0.1928,0.3649,0.4207706917074905
1518,0.6043,0.136,0.5259,0.46569292779684773
1519,0.7524,0.2424,0.1654,0.3801671474496448
1520,0.6346,0.1431,0.4486,0.43279059023966776
1521,0.6746,0.1859,0.3666,0.41058793820569056
1522,0.6403,0.1331,0.5421,0.48399143174233983
1523,0.6926,0.2116,0.2307,0.3687581388932317
1524,0.4814,0.1171,0.5476,0.4476558890487201
1525,0.4964,0.1134,0.5889,0.475964352656793
1526,0.4517,0.0799,0.648,0.5026666698717949
1527,0.5737,0.1491,0.5022,0.44564335628392354
1528,0.6068,0.15,0.4588,0.43085956876922205
1529,0.3308,0.0672,0.9,0.6544008557451618
1530,0.619,0.1703,0.3328,0.37511431191038286
1531,0.5469,0.1158,0.5241,0.4485345237548611
1532,0.6637,0.1558,0.3755,0.40728583942975477
1533,0.5327,0.1199,0.6136,0.4993186767986954
1534,0.5937,0.1258,0.5613,0.4824649987304779
1535,0.7265,0.2289,0.1949,0.3745290616227264
1536,0.6554,0.1419,0.5476,0.4918164240852475
1537,0.5036,0.1085,0.5621,0.4606869566202196
1538,0.6424,0.1407,0.5514,0.4904033839605922
1539,0.7045,0.186,0.2629,0.37973814003863243
1540,0.6736,0.173,0.3125,0.3854273174023865
1541,0.6218,0.1393,0.4618,0.43563518567719023
1542,0.6637,0.1864,0.2711,0.36779155917448675
1543,0.5667,0.119,0.6078,0.5031783958001377
1544,0.6081,0.2622,0.4845,0.460382340017512
1545,0.5629,0.1483,0.4819,0.43137333482727
1546,0.6419,0.1477,0.4368,0.42935862516083223
1547,0.4169,0.1039,0.6089,0.4726301831241843
1548,0.5594,0.1435,0.5573,0.4733444749862409
1549,0.6892,0.2042,0.3719,0.4203134841995912
1550,0.5809,0.1348,0.4798,0.4336407430120007
1551,0.6816,0.1785,0.2883,0.37951657671306005
1552,0.6308,0.1402,0.4471,0.43061321972275773
1553,0.5283,0.1202,0.6146,0.49902021001157865
1554,0.5892,0.1321,0.4419,0.41509547817339565
1555,0.7463,0.2689,0.0736,0.36850153459653323
1556,0.5422,0.1818,0.5224,0.45294858427861323
1557,0.5529,0.1193,0.5273,0.45214165258246225
1558,0.6086,0.1275,0.5921,0.5042289876633432
1559,0.5091,0.1304,0.5148,0.4352554767030508
1560,0.5964,0.2881,0.1697,0.33232231342478347
1561,0.6382,0.1632,0.3743,0.3993749679186216
1562,0.6149,0.1624,0.3948,0.40182838376600527
1563,0.5788,0.1297,0.5966,0.5000142947956588
1564,0.5402,0.2405,0.4582,0.4250751733517261
1565,0.5105,0.1115,0.6741,0.5320311363068895
1566,0.4568,0.1201,0.631,0.49511710836932304
1567,0.6796,0.1948,0.2569,0.3698028515303796
1568,0.4242,0.0994,0.6719,0.5144686977844231
1569,0.457,0.0828,0.6554,0.5085283984203832
